Sa=0.35,RSN181_IMPVALL.H_H-E06140.AT2,RSN825_CAPEMEND_CPM000.AT2,RSN8130_CCHURCH_SHLCS50E.AT2,RSN1536_CHICHI_TCU110-E.AT2,RSN1087_NORTHR_TAR090.AT2,RSN5664_IWATE_MYG005NS.AT2,RSN6906_DARFIELD_GDLCS35W.AT2,RSN1244_CHICHI_CHY101-N.AT2,RSN1505_CHICHI_TCU068-E.AT2,RSN179_IMPVALL.H_H-E04230.AT2,RSN1536_CHICHI_TCU110-N.AT2,RSN4856_CHUETSU_65025EW.AT2,RSN5657_IWATE_IWTH25NS.AT2,RSN1529_CHICHI_TCU102-N.AT2,RSN1505_CHICHI_TCU068-N.AT2,RSN4895_CHUETSU_5-G1EW.AT2,RSN1503_CHICHI_TCU065-N.AT2,RSN1492_CHICHI_TCU052-E.AT2,RSN8130_CCHURCH_SHLCS40W.AT2,RSN1063_NORTHR_RRS318.AT2,RSN828_CAPEMEND_PET090.AT2,RSN1244_CHICHI_CHY101-E.AT2,RSN1510_CHICHI_TCU075-E.AT2,RSN4896_CHUETSU_SG01NS.AT2,RSN1504_CHICHI_TCU067-E.AT2,RSN1529_CHICHI_TCU102-E.AT2,RSN181_IMPVALL.H_H-E06230.AT2,RSN1492_CHICHI_TCU052-N.AT2,RSN4847_CHUETSU_65010EW.AT2,RSN4896_CHUETSU_SG01EW.AT2
IDR1,0.016209,0.011162,0.015603,0.012728,0.008952,0.014965,0.011226,0.017576,0.0097105,0.014934,0.010752,0.0079279,0.0085373,0.0075749,0.0085461,0.015594,0.0092085,0.0139,0.008489,0.0086163,0.011209,0.014965,0.034158,0.014339,0.012995,0.012453,0.023538,0.013802,0.0084274,0.016419
IDR2,0.012145,0.0075409,0.016528,0.011459,0.0084989,0.007575,0.0068855,0.0084825,0.011781,0.0091738,0.012094,0.0088834,0.0080763,0.0095648,0.0084769,0.012746,0.0091164,0.011488,0.010192,0.011377,0.011252,0.013284,0.0071736,0.010545,0.018183,0.010965,0.009131,0.012923,0.012851,0.017239
IDR3,0.0054165,0.0054716,0.0098641,0.0057223,0.0072174,0.0059354,0.005948,0.0058251,0.0080404,0.0054993,0.0054598,0.0055217,0.0056838,0.0054283,0.0057616,0.0080677,0.0061018,0.0059441,0.0064251,0.0065044,0.0058338,0.0058011,0.005413,0.006058,0.0084873,0.0054581,0.0054492,0.0065637,0.0069314,0.0060138
IDR4,0.005094,0.0057694,0.0096804,0.0050655,0.0062715,0.0053672,0.005806,0.0053672,0.0066824,0.0052044,0.0051681,0.0051264,0.008104,0.0051064,0.0054901,0.0069707,0.0057138,0.005378,0.0052983,0.0062887,0.0059385,0.0053667,0.0048379,0.0055054,0.00667,0.0053431,0.0050667,0.0053749,0.0055296,0.0055414
IDR5,0.003988,0.0048456,0.0055759,0.0037481,0.0077445,0.00392,0.0045885,0.0047926,0.00455,0.0043133,0.003941,0.0038565,0.0052775,0.0039938,0.004339,0.0060266,0.00459,0.0041545,0.004003,0.0048592,0.0051917,0.0044608,0.0036685,0.0043828,0.0050133,0.0041581,0.0041687,0.0040222,0.0041673,0.0043012
IDR6,0.0025795,0.0032841,0.0036032,0.0021458,0.0043017,0.002596,0.0026288,0.0034257,0.0025536,0.0028915,0.0022027,0.0023025,0.0033625,0.0026314,0.0024522,0.0043396,0.0028007,0.0023329,0.0024967,0.0030336,0.0036731,0.0031697,0.0025942,0.0025969,0.0033223,0.0026285,0.0024239,0.0023275,0.0025443,0.0025371
RIDR1,0.01232,0.0050616,0.011216,0.0056467,0.0042901,0.0094765,0.0021352,0.00013904,0.00059752,0.0048986,0.00029301,0.0013521,0.00453,0.00052962,0.0013948,0.010072,0.001457,0.0097298,0.003659,0.0035689,0.0072471,0.00074955,0.009547,0.0080616,0.0017824,0.00030014,0.015944,0.0096824,0.00067626,0.0033022
RIDR2,0.007013,0.0019743,0.010615,0.0058752,0.0020187,0.0017466,0.00014159,0.00048577,0.0037102,0.0035067,0.004781,0.00057659,0.0026117,0.0023181,4.1072e-006,0.006984,0.00034274,0.0059143,0.0016514,0.0054621,0.0053189,0.0054013,0.0010075,0.0049253,0.0083139,0.0014174,0.0036791,0.0073848,0.0052185,0.0086117
RIDR3,0.00037194,3.8954e-005,0.0040047,0.00025914,0.0017191,0.00050966,0.00052441,0.0001288,0.0025077,6.1289e-005,0.00024591,8.6915e-005,0.00014305,4.7747e-005,0.00031789,0.0025578,0.00013759,0.0004834,0.0006989,0.0013059,0.00050377,0.00058942,0.00023232,0.00053686,0.0028097,2.4568e-005,7.3303e-005,0.0011424,0.0011987,0.00056484
RIDR4,0.00031448,0.00026584,0.0036098,3.4867e-005,0.00015738,5.1429e-007,0.00038551,4.4053e-005,0.0011887,1.6877e-005,0.00016826,1.6976e-005,0.00261,5.3917e-005,5.7472e-005,0.0010264,0.00023316,2.9372e-005,0.00011438,0.0011314,0.00040502,0.00017794,0.00019709,1.4171e-005,0.00069945,5.1405e-007,3.7078e-005,1.6931e-005,0.00011392,7.3107e-005
RIDR5,0.00022259,5.8177e-005,6.0505e-006,2.3164e-005,0.00038655,3.5641e-007,1.1102e-006,3.0758e-005,3.0884e-005,9.3194e-006,0.00011778,1.16e-005,2.0944e-008,3.742e-005,1.4793e-005,0.0005766,3.0531e-005,2.0215e-005,7.8649e-005,0.00021608,7.4136e-005,0.00012477,0.00013746,5.5044e-005,3.8545e-005,3.8762e-007,2.9242e-005,1.1816e-005,0.00016086,0.00014
RIDR6,0.0001211,3.028e-005,8.3592e-005,1.205e-005,1.3081e-005,1.9154e-007,5.9782e-007,1.6557e-005,1.6695e-005,4.1072e-006,6.366e-005,6.1441e-006,1.1244e-008,2.0069e-005,8.1421e-006,9.4699e-006,1.6638e-005,1.0791e-005,4.1628e-005,0.0001184,4.0202e-005,6.7569e-005,7.4118e-005,2.9652e-005,2.0788e-005,2.3494e-007,1.6705e-005,6.3952e-006,8.6825e-005,7.5528e-005
PFA1,0.3214,0.85658,0.30072,0.14816,0.90726,0.34909,0.1737,0.32482,0.19972,0.26968,0.10486,0.20618,0.43139,0.11447,0.14593,0.55979,0.23535,0.11377,0.17532,0.18265,0.366,0.35488,0.36571,0.16959,0.28877,0.12186,0.34296,0.12049,0.16446,0.14468
PFA2,0.26686,0.56547,0.41124,0.24273,0.71951,0.24633,0.25248,0.38501,0.28608,0.34828,0.2513,0.27515,0.29655,0.18237,0.32949,0.5602,0.26525,0.31143,0.23225,0.22227,0.3642,0.38856,0.28909,0.29512,0.28227,0.25382,0.29565,0.23983,0.23047,0.2747
PFA3,0.22147,0.515,0.38506,0.23238,0.6804,0.2346,0.21706,0.34774,0.34353,0.28748,0.22374,0.2145,0.29002,0.17478,0.24482,0.59196,0.24316,0.2637,0.24212,0.31591,0.33072,0.29014,0.25716,0.29446,0.34539,0.22231,0.29056,0.25751,0.27552,0.2358
PFA4,0.24143,0.401,0.31965,0.21767,0.61824,0.2559,0.23283,0.3183,0.27238,0.26751,0.21615,0.22177,0.3584,0.20934,0.23335,0.55099,0.23304,0.25178,0.26546,0.26184,0.30144,0.25893,0.30515,0.2606,0.28995,0.22515,0.31201,0.27178,0.22719,0.2291
PFA5,0.25527,0.51274,0.37985,0.23231,0.56975,0.28318,0.23361,0.32289,0.28617,0.24083,0.24934,0.22779,0.38034,0.22795,0.24269,0.59517,0.24078,0.21605,0.30778,0.3368,0.3384,0.32789,0.30514,0.26154,0.30819,0.24296,0.2451,0.25564,0.23103,0.2591
PFA6,0.28226,0.36733,0.37252,0.28058,0.43163,0.31588,0.3324,0.34321,0.35037,0.28309,0.3012,0.28706,0.34467,0.29624,0.31781,0.47017,0.30269,0.30653,0.31761,0.31219,0.32742,0.34617,0.29943,0.30419,0.361,0.31424,0.3081,0.31315,0.31836,0.34284
PFA7,0.38518,0.48043,0.54134,0.31533,0.65523,0.38934,0.38801,0.50686,0.39442,0.43457,0.32244,0.3471,0.50937,0.39088,0.37055,0.64773,0.41431,0.35424,0.3643,0.45577,0.53252,0.47436,0.38113,0.39107,0.49318,0.38975,0.36276,0.348,0.37709,0.37478
