Sa=0.70,RSN181_IMPVALL.H_H-E06140.AT2,RSN825_CAPEMEND_CPM000.AT2,RSN8130_CCHURCH_SHLCS50E.AT2,RSN1536_CHICHI_TCU110-E.AT2,RSN1087_NORTHR_TAR090.AT2,RSN5664_IWATE_MYG005NS.AT2,RSN6906_DARFIELD_GDLCS35W.AT2,RSN1244_CHICHI_CHY101-N.AT2,RSN1505_CHICHI_TCU068-E.AT2,RSN179_IMPVALL.H_H-E04230.AT2,RSN1536_CHICHI_TCU110-N.AT2,RSN4856_CHUETSU_65025EW.AT2,RSN5657_IWATE_IWTH25NS.AT2,RSN1529_CHICHI_TCU102-N.AT2,RSN1505_CHICHI_TCU068-N.AT2,RSN4895_CHUETSU_5-G1EW.AT2,RSN1503_CHICHI_TCU065-N.AT2,RSN1492_CHICHI_TCU052-E.AT2,RSN8130_CCHURCH_SHLCS40W.AT2,RSN1063_NORTHR_RRS318.AT2,RSN828_CAPEMEND_PET090.AT2,RSN1244_CHICHI_CHY101-E.AT2,RSN1510_CHICHI_TCU075-E.AT2,RSN4896_CHUETSU_SG01NS.AT2,RSN1504_CHICHI_TCU067-E.AT2,RSN1529_CHICHI_TCU102-E.AT2,RSN181_IMPVALL.H_H-E06230.AT2,RSN1492_CHICHI_TCU052-N.AT2,RSN4847_CHUETSU_65010EW.AT2,RSN4896_CHUETSU_SG01EW.AT2
IDR1,0.028024,0.03843,0.043693,0.05445,0.02741,NaN,0.031227,NaN,0.04436,NaN,0.018749,0.049213,0.015984,NaN,0.06066,0.046217,0.023935,0.027078,0.041081,0.015933,0.042532,NaN,NaN,0.029155,NaN,0.066338,NaN,0.024035,0.019182,0.03377
IDR2,0.019162,0.016481,0.017635,0.015246,0.012933,NaN,0.020206,NaN,0.02215,NaN,0.02418,0.017492,0.015547,NaN,0.01508,0.028606,0.017847,0.016121,0.023063,0.019362,0.018648,NaN,NaN,0.021014,NaN,0.023092,NaN,0.013579,0.022316,0.026454
IDR3,0.0073992,0.0062833,0.016595,0.0096055,0.015653,NaN,0.0068631,NaN,0.012784,NaN,0.010276,0.0083753,0.0070994,NaN,0.0088604,0.012328,0.010809,0.0075486,0.010679,0.0089088,0.01009,NaN,NaN,0.011488,NaN,0.010027,NaN,0.0072678,0.011507,0.014362
IDR4,0.009282,0.0076815,0.018996,0.0082281,0.014792,NaN,0.0081145,NaN,0.015535,NaN,0.0067639,0.0073025,0.0096413,NaN,0.0089557,0.010672,0.011171,0.0084225,0.010109,0.011918,0.0084403,NaN,NaN,0.0095918,NaN,0.0079116,NaN,0.0098434,0.0098819,0.0090424
IDR5,0.0056903,0.0056528,0.0074946,0.0052931,0.013031,NaN,0.0052521,NaN,0.008306,NaN,0.0049805,0.0051987,0.0080563,NaN,0.0053027,0.012424,0.0054947,0.0056083,0.0054947,0.0059818,0.0083807,NaN,NaN,0.0055571,NaN,0.0052067,NaN,0.005628,0.0059265,0.0050689
IDR6,0.0040523,0.0040495,0.0045813,0.0036955,0.0056083,NaN,0.003883,NaN,0.0046291,NaN,0.0033067,0.0032378,0.0045909,NaN,0.0033612,0.0060514,0.0035671,0.0035638,0.0036324,0.0041774,0.0045491,NaN,NaN,0.0042247,NaN,0.0034896,NaN,0.0038638,0.0040133,0.0035927
RIDR1,0.023233,0.031254,0.013048,0.012383,0.00050972,NaN,0.0029622,NaN,0.0087864,NaN,0.0017481,0.012712,0.0033317,NaN,0.01569,0.040379,0.0023308,0.01896,0.036917,0.00824,0.021694,NaN,NaN,0.006593,NaN,0.042244,NaN,0.018033,0.00025646,0.0055376
RIDR2,0.010595,0.010623,0.0011398,0.0034511,0.0068901,NaN,0.0058339,NaN,0.0031666,NaN,0.0017738,0.011579,0.001736,NaN,0.00010605,0.022773,0.0002892,0.00025728,0.017071,0.010686,0.013273,NaN,NaN,0.014191,NaN,0.017326,NaN,0.0080509,0.0099506,0.015075
RIDR3,0.0026752,0.00065351,0.010175,0.00059368,0.0050347,NaN,0.0002142,NaN,0.0063756,NaN,0.0042263,0.0024285,0.00026276,NaN,0.0021586,0.0042924,0.0039087,0.0011359,0.0024486,0.0034162,0.0045091,NaN,NaN,0.005635,NaN,0.0044943,NaN,0.0018482,0.0053917,0.0087757
RIDR4,0.0043845,0.0020349,0.012982,0.00017654,0.00034924,NaN,0.0017842,NaN,0.0093722,NaN,9.708e-005,0.0015275,0.0040992,NaN,0.0033939,0.002624,0.0038111,0.0028597,0.0022869,0.0069187,0.0014259,NaN,NaN,0.0038952,NaN,0.0024226,NaN,0.0043287,0.0023628,0.0038416
RIDR5,0.00071847,0.00011734,0.0018751,6.3055e-005,0.0050901,NaN,2.2203e-006,NaN,0.0027256,NaN,0.00023756,2.469e-005,0.0025471,NaN,2.9633e-005,0.0066601,2.0076e-005,0.00015077,0.00019281,0.0010208,0.0030096,NaN,NaN,3.2648e-005,NaN,7.239e-007,NaN,0.00023379,0.00017617,0.00027947
RIDR6,0.0002439,6.0721e-005,7.1985e-005,3.3121e-005,0.00018078,NaN,1.1956e-006,NaN,3.339e-005,NaN,0.0001284,1.3091e-005,2.2526e-008,NaN,1.631e-005,0.00061214,3.3676e-005,2.1583e-005,5.824e-005,0.00025729,8.151e-005,NaN,NaN,5.8858e-005,NaN,4.422e-007,NaN,1.2789e-005,0.00017339,0.00015077
PFA1,0.6428,1.7132,0.60143,0.29631,1.8145,NaN,0.34741,NaN,0.39944,NaN,0.20972,0.41236,0.86278,NaN,0.29186,1.1196,0.4707,0.22753,0.35064,0.36531,0.73202,NaN,NaN,0.33919,NaN,0.24371,NaN,0.24098,0.32892,0.28937
PFA2,0.44767,0.6931,0.86441,0.41487,1.3842,NaN,0.38054,NaN,0.36592,NaN,0.39324,0.3954,0.54219,NaN,0.39766,1.0276,0.3563,0.40837,0.4439,0.47841,0.5684,NaN,NaN,0.38022,NaN,0.33268,NaN,0.35452,0.36037,0.38574
PFA3,0.49104,0.63211,0.6421,0.39968,1.0017,NaN,0.35414,NaN,0.43488,NaN,0.399,0.40835,0.47893,NaN,0.43668,0.86958,0.40422,0.45635,0.33859,0.47124,0.46417,NaN,NaN,0.49847,NaN,0.45779,NaN,0.47312,0.47861,0.44313
PFA4,0.38007,0.467,0.53213,0.37167,1.0444,NaN,0.36114,NaN,0.47826,NaN,0.28266,0.31412,0.52603,NaN,0.32292,0.70664,0.36881,0.32423,0.37163,0.41854,0.47652,NaN,NaN,0.3955,NaN,0.36785,NaN,0.37412,0.40337,0.34048
PFA5,0.41394,0.5411,0.5484,0.35177,0.71861,NaN,0.31017,NaN,0.59321,NaN,0.3195,0.36524,0.51294,NaN,0.34809,0.72188,0.38072,0.38483,0.38045,0.52261,0.32492,NaN,NaN,0.42226,NaN,0.35588,NaN,0.38005,0.43776,0.34806
PFA6,0.37111,0.41497,0.55085,0.41257,0.73788,NaN,0.3706,NaN,0.53399,NaN,0.39634,0.34461,0.49882,NaN,0.37039,0.56265,0.38068,0.38006,0.38584,0.43189,0.40248,NaN,NaN,0.39515,NaN,0.34099,NaN,0.39806,0.36125,0.36358
PFA7,0.62006,0.62901,0.69802,0.54872,0.85545,NaN,0.58072,NaN,0.7247,NaN,0.50087,0.49046,0.70485,NaN,0.50276,0.84408,0.53208,0.5428,0.55019,0.63241,0.6748,NaN,NaN,0.64525,NaN,0.53621,NaN,0.5905,0.61803,0.53847
