Sa=0.10,RSN181_IMPVALL.H_H-E06140.AT2,RSN825_CAPEMEND_CPM000.AT2,RSN8130_CCHURCH_SHLCS50E.AT2,RSN1536_CHICHI_TCU110-E.AT2,RSN1087_NORTHR_TAR090.AT2,RSN5664_IWATE_MYG005NS.AT2,RSN6906_DARFIELD_GDLCS35W.AT2,RSN1244_CHICHI_CHY101-N.AT2,RSN1505_CHICHI_TCU068-E.AT2,RSN179_IMPVALL.H_H-E04230.AT2,RSN1536_CHICHI_TCU110-N.AT2,RSN4856_CHUETSU_65025EW.AT2,RSN5657_IWATE_IWTH25NS.AT2,RSN1529_CHICHI_TCU102-N.AT2,RSN1505_CHICHI_TCU068-N.AT2,RSN4895_CHUETSU_5-G1EW.AT2,RSN1503_CHICHI_TCU065-N.AT2,RSN1492_CHICHI_TCU052-E.AT2,RSN8130_CCHURCH_SHLCS40W.AT2,RSN1063_NORTHR_RRS318.AT2,RSN828_CAPEMEND_PET090.AT2,RSN1244_CHICHI_CHY101-E.AT2,RSN1510_CHICHI_TCU075-E.AT2,RSN4896_CHUETSU_SG01NS.AT2,RSN1504_CHICHI_TCU067-E.AT2,RSN1529_CHICHI_TCU102-E.AT2,RSN181_IMPVALL.H_H-E06230.AT2,RSN1492_CHICHI_TCU052-N.AT2,RSN4847_CHUETSU_65010EW.AT2,RSN4896_CHUETSU_SG01EW.AT2
IDR1,0.0022146,0.002451,0.0022799,0.0023955,0.0022617,0.0025016,0.0022465,0.0024045,0.0024907,0.0023285,0.0024872,0.0023139,0.002018,0.0022237,0.0023634,0.0025324,0.002256,0.0023864,0.0022003,0.0022504,0.002217,0.0024695,0.0024974,0.0024602,0.0023924,0.0022949,0.0022841,0.002424,0.0023374,0.0023777
IDR2,0.0029653,0.0032129,0.0029088,0.0031075,0.003222,0.0031835,0.0030037,0.0032296,0.003168,0.0030808,0.003184,0.0029328,0.0028007,0.0029357,0.0030988,0.0033168,0.0029769,0.0030772,0.0030181,0.0029802,0.0030738,0.0031459,0.003234,0.0031784,0.0031257,0.003109,0.0029326,0.0031459,0.0031221,0.0030261
IDR3,0.0027325,0.0030096,0.0030083,0.0026888,0.0030335,0.0026971,0.0026529,0.0028873,0.0026398,0.0026736,0.0026519,0.0026479,0.003,0.00253,0.0027101,0.0026749,0.0026423,0.0026235,0.0027376,0.002739,0.0028384,0.0027213,0.0027077,0.0026891,0.0027574,0.0027758,0.0027784,0.0026462,0.0027339,0.0026046
IDR4,0.0024082,0.0025677,0.0028962,0.0022629,0.0028925,0.0022227,0.0023607,0.0024756,0.0022289,0.0020817,0.002133,0.0023454,0.0028173,0.0021178,0.0023083,0.0027069,0.002346,0.0021712,0.0024214,0.0024373,0.0029316,0.0024057,0.0023843,0.0021773,0.0026101,0.0024081,0.0026042,0.0021673,0.0022952,0.0021721
IDR5,0.0018644,0.0020416,0.0022291,0.0015884,0.0028728,0.0015301,0.0017934,0.001993,0.0016924,0.0014385,0.0015,0.0016224,0.002095,0.0014955,0.0016332,0.0021542,0.001766,0.0014836,0.0017696,0.0018591,0.0023646,0.0016875,0.0019276,0.0014787,0.0020287,0.0017295,0.0019821,0.0014978,0.0016041,0.0015191
IDR6,0.0010689,0.0017976,0.001333,0.00086462,0.001988,0.00087491,0.001045,0.0012797,0.00098906,0.00096393,0.00083349,0.00088809,0.0012022,0.00083585,0.00089741,0.0015294,0.0010089,0.00078081,0.0010964,0.001122,0.0014088,0.0011671,0.0011348,0.00086578,0.0012475,0.00095552,0.0011681,0.00082669,0.00091595,0.00082962
RIDR1,0.00010167,2.9642e-005,4.911e-005,1.3129e-005,1.1101e-005,1.7774e-007,5.209e-007,1.4611e-005,1.5189e-005,9.9906e-006,5.6183e-005,5.5018e-006,1.1355e-008,1.8227e-005,5.5324e-006,8.8842e-006,1.3458e-005,1.0157e-005,2.534e-005,3.5898e-005,3.736e-005,5.9001e-005,6.6418e-005,2.6264e-005,1.9476e-005,1.774e-007,7.4743e-006,5.8539e-006,7.7257e-005,6.7767e-005
RIDR2,0.00013692,3.9517e-005,6.7343e-005,1.7106e-005,1.4096e-005,2.3564e-007,7.0699e-007,1.9714e-005,2.011e-005,1.1176e-005,7.5496e-005,7.3425e-006,1.434e-008,2.4431e-005,8.2186e-006,1.1779e-005,1.8324e-005,1.3582e-005,3.3112e-005,6.4874e-005,5.0081e-005,7.9428e-005,8.8917e-005,3.528e-005,2.557e-005,2.516e-007,1.2001e-005,7.7555e-006,0.00010372,9.085e-005
RIDR3,0.00012153,3.4257e-005,6.0673e-005,1.434e-005,1.2224e-005,2.045e-007,6.2485e-007,1.7366e-005,1.7506e-005,8.4303e-006,6.6358e-005,6.357e-006,1.2158e-008,2.1369e-005,7.7125e-006,1.0055e-005,1.6408e-005,1.1779e-005,2.8328e-005,7.5897e-005,4.3464e-005,6.9939e-005,7.7899e-005,3.0975e-005,2.2103e-005,2.2872e-007,1.2833e-005,6.7305e-006,9.1004e-005,7.9528e-005
RIDR4,0.00010414,2.9033e-005,5.3066e-005,1.1468e-005,1.0803e-005,1.7088e-007,5.2966e-007,1.4699e-005,1.473e-005,5.9096e-006,5.6146e-005,5.2601e-006,1.0075e-008,1.795e-005,6.8297e-006,8.3271e-006,1.4149e-005,9.7902e-006,2.343e-005,7.9508e-005,3.6095e-005,5.928e-005,6.5664e-005,2.6221e-005,1.848e-005,1.9758e-007,1.2899e-005,5.6442e-006,7.6857e-005,6.6969e-005
